order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,sls_price
SO43720,16,2265,2011-01-03,2011-01-10,2011-01-15,3578.0,1,3578.0
SO43721,20,2591,2011-01-03,2011-01-10,2011-01-15,3578.0,1,3578.0
SO43722,17,2582,2011-01-04,2011-01-11,2011-01-16,3578.0,1,3578.0
SO43723,46,3521,2011-01-04,2011-01-11,2011-01-16,699.0,1,699.0
SO43724,16,5521,2011-01-04,2011-01-11,2011-01-16,3578.0,1,3578.0
SO43725,16,2259,2011-01-05,2011-01-12,2011-01-17,3578.0,1,3578.0
SO43726,46,3561,2011-01-05,2011-01-12,2011-01-17,699.0,1,699.0
SO43727,16,5608,2011-01-05,2011-01-12,2011-01-17,3578.0,1,3578.0
SO43728,18,16667,2011-01-06,2011-01-13,2011-01-18,3578.0,1,3578.0
SO43729,9,239,2011-01-06,2011-01-13,2011-01-18,3400.0,1,3400.0
SO43730,9,14862,2011-01-06,2011-01-13,2011-01-18,3400.0,1,3400.0
SO43731,19,5630,2011-01-06,2011-01-13,2011-01-18,3578.0,1,3578.0
SO43732,5,26,2011-01-06,2011-01-13,2011-01-18,3375.0,1,3375.0
SO43733,17,16578,2011-01-06,2011-01-13,2011-01-18,3578.0,1,3578.0
SO43734,17,16605,2011-01-07,2011-01-14,2011-01-19,3578.0,1,3578.0
SO43735,20,5523,2011-01-07,2011-01-14,2011-01-19,3578.0,1,3578.0
SO43736,9,3,2011-01-07,2011-01-14,2011-01-19,3400.0,1,3400.0
SO43737,16,2262,2011-01-08,2011-01-15,2011-01-20,3578.0,1,3578.0
SO43738,17,607,2011-01-08,2011-01-15,2011-01-20,3578.0,1,3578.0
SO43739,20,2564,2011-01-08,2011-01-15,2011-01-20,3578.0,1,3578.0
SO43740,17,5528,2011-01-08,2011-01-15,2011-01-20,3578.0,1,3578.0
SO43741,20,16672,2011-01-09,2011-01-16,2011-01-21,3578.0,1,3578.0
SO43742,19,2577,2011-01-09,2011-01-16,2011-01-21,3578.0,1,3578.0
SO43743,10,8,2011-01-09,2011-01-16,2011-01-21,3400.0,1,3400.0
SO43744,18,5632,2011-01-09,2011-01-16,2011-01-21,3578.0,1,3578.0
SO43745,16,5515,2011-01-10,2011-01-17,2011-01-22,3578.0,1,3578.0
SO43746,17,5617,2011-01-10,2011-01-17,2011-01-22,3578.0,1,3578.0
SO43747,19,16624,2011-01-11,2011-01-18,2011-01-23,3578.0,1,3578.0
SO43748,18,16626,2011-01-11,2011-01-18,2011-01-23,3578.0,1,3578.0
SO43749,19,16637,2011-01-11,2011-01-18,2011-01-23,3578.0,1,3578.0
SO43750,16,592,2011-01-11,2011-01-18,2011-01-23,3578.0,1,3578.0
SO43751,18,593,2011-01-11,2011-01-18,2011-01-23,3578.0,1,3578.0
SO43752,16,2266,2011-01-11,2011-01-18,2011-01-23,3578.0,1,3578.0
SO43753,20,5483,2011-01-11,2011-01-18,2011-01-23,3578.0,1,3578.0
SO43754,17,16618,2011-01-12,2011-01-19,2011-01-24,3578.0,1,3578.0
SO43755,16,16671,2011-01-12,2011-01-19,2011-01-24,3578.0,1,3578.0
SO43756,46,8942,2011-01-12,2011-01-19,2011-01-24,699.0,1,699.0
SO43757,5,18,2011-01-12,2011-01-19,2011-01-24,3375.0,1,3375.0
SO43758,20,16647,2011-01-13,2011-01-20,2011-01-25,3578.0,1,3578.0
SO43759,20,2258,2011-01-13,2011-01-20,2011-01-25,3578.0,1,3578.0
SO43760,19,5353,2011-01-13,2011-01-20,2011-01-25,3578.0,1,3578.0
SO43761,20,5494,2011-01-13,2011-01-20,2011-01-25,3578.0,1,3578.0
SO43762,19,16579,2011-01-14,2011-01-21,2011-01-26,3578.0,1,3578.0
SO43763,18,5526,2011-01-14,2011-01-21,2011-01-26,3578.0,1,3578.0
SO43764,20,5613,2011-01-14,2011-01-21,2011-01-26,3578.0,1,3578.0
SO43765,9,11,2011-01-14,2011-01-21,2011-01-26,3400.0,1,3400.0
SO43766,18,5519,2011-01-15,2011-01-22,2011-01-27,3578.0,1,3578.0
SO43767,5,2,2011-01-15,2011-01-22,2011-01-27,3375.0,1,3375.0
SO43768,17,16650,2011-01-16,2011-01-23,2011-01-28,3578.0,1,3578.0
SO43769,17,10660,2011-01-16,2011-01-23,2011-01-28,3578.0,1,3578.0
SO43770,17,16615,2011-01-16,2011-01-23,2011-01-28,3578.0,1,3578.0
SO43771,51,3560,2011-01-16,2011-01-23,2011-01-28,699.0,1,699.0
SO43772,17,5525,2011-01-16,2011-01-23,2011-01-28,3578.0,1,3578.0
SO43773,19,5527,2011-01-16,2011-01-23,2011-01-28,3578.0,1,3578.0
SO43774,18,5349,2011-01-16,2011-01-23,2011-01-28,3578.0,1,3578.0
SO43775,10,28,2011-01-16,2011-01-23,2011-01-28,3400.0,1,3400.0
SO43776,19,2261,2011-01-17,2011-01-24,2011-01-29,3578.0,1,3578.0
SO43777,16,5516,2011-01-17,2011-01-24,2011-01-29,3578.0,1,3578.0
SO43778,8,19,2011-01-17,2011-01-24,2011-01-29,3400.0,1,3400.0
SO43779,49,14253,2011-01-17,2011-01-24,2011-01-29,699.0,1,699.0
SO43780,16,600,2011-01-18,2011-01-25,2011-01-30,3578.0,1,3578.0
SO43781,17,5496,2011-01-18,2011-01-25,2011-01-30,3578.0,1,3578.0
SO43782,17,5517,2011-01-18,2011-01-25,2011-01-30,3578.0,1,3578.0
SO43783,17,5621,2011-01-18,2011-01-25,2011-01-30,3578.0,1,3578.0
SO43784,20,16668,2011-01-19,2011-01-26,2011-01-31,3578.0,1,3578.0
SO43785,16,602,2011-01-19,2011-01-26,2011-01-31,3578.0,1,3578.0
SO43786,16,608,2011-01-19,2011-01-26,2011-01-31,3578.0,1,3578.0
SO43787,7,18386,2011-01-19,2011-01-26,2011-01-31,3400.0,1,3400.0
SO43788,6,240,2011-01-19,2011-01-26,2011-01-31,3375.0,1,3375.0
SO43789,6,14866,2011-01-19,2011-01-26,2011-01-31,3375.0,1,3375.0
SO43790,7,14858,2011-01-19,2011-01-26,2011-01-31,3400.0,1,3400.0
SO43791,19,5485,2011-01-19,2011-01-26,2011-01-31,3578.0,1,3578.0
SO43792,17,5624,2011-01-19,2011-01-26,2011-01-31,3578.0,1,3578.0
SO43793,7,1,2011-01-19,2011-01-26,2011-01-31,3400.0,1,3400.0
SO43794,10,30,2011-01-19,2011-01-26,2011-01-31,3400.0,1,3400.0
SO43795,17,16616,2011-01-20,2011-01-27,2011-02-01,3578.0,1,3578.0
SO43796,45,6957,2011-01-20,2011-01-27,2011-02-01,699.0,1,699.0
SO43797,17,5346,2011-01-20,2011-01-27,2011-02-01,3578.0,1,3578.0
SO43798,20,5522,2011-01-20,2011-01-27,2011-02-01,3578.0,1,3578.0
SO43799,17,5637,2011-01-20,2011-01-27,2011-02-01,3578.0,1,3578.0
SO43800,16,10711,2011-01-21,2011-01-28,2011-02-02,3578.0,1,3578.0
SO43801,16,2584,2011-01-21,2011-01-28,2011-02-02,3578.0,1,3578.0
SO43802,17,594,2011-01-21,2011-01-28,2011-02-02,3578.0,1,3578.0
SO43803,19,10742,2011-01-22,2011-01-29,2011-02-03,3578.0,1,3578.0
SO43804,20,2586,2011-01-22,2011-01-29,2011-02-03,3578.0,1,3578.0
SO43805,50,3511,2011-01-22,2011-01-29,2011-02-03,699.0,1,699.0
SO43806,17,5524,2011-01-22,2011-01-29,2011-02-03,3578.0,1,3578.0
SO43807,17,612,2011-01-23,2011-01-30,2011-02-04,3578.0,1,3578.0
SO43808,18,2260,2011-01-23,2011-01-30,2011-02-04,3578.0,1,3578.0
SO43809,20,5351,2011-01-23,2011-01-30,2011-02-04,3578.0,1,3578.0
SO43810,8,5,2011-01-23,2011-01-30,2011-02-04,3400.0,1,3400.0
SO43811,9,27,2011-01-23,2011-01-30,2011-02-04,3400.0,1,3400.0
SO43812,17,16663,2011-01-24,2011-01-31,2011-02-05,3578.0,1,3578.0
SO43813,5,17391,2011-01-24,2011-01-31,2011-02-05,3375.0,1,3375.0
SO43814,5,14867,2011-01-24,2011-01-31,2011-02-05,3375.0,1,3375.0
SO43815,16,5495,2011-01-24,2011-01-31,2011-02-05,3578.0,1,3578.0
SO43816,19,5497,2011-01-24,2011-01-31,2011-02-05,3578.0,1,3578.0
SO43817,20,5520,2011-01-24,2011-01-31,2011-02-05,3578.0,1,3578.0
SO43818,17,5529,2011-01-24,2011-01-31,2011-02-05,3578.0,1,3578.0
SO43819,9,7,2011-01-24,2011-01-31,2011-02-05,3400.0,1,3400.0
SO43820,17,16652,2011-01-25,2011-02-01,2011-02-06,3578.0,1,3578.0
SO43821,20,16664,2011-01-25,2011-02-01,2011-02-06,3578.0,1,3578.0
SO43822,18,16670,2011-01-25,2011-02-01,2011-02-06,3578.0,1,3578.0
SO43823,45,8943,2011-01-25,2011-02-01,2011-02-06,699.0,1,699.0
SO43824,43,3559,2011-01-25,2011-02-01,2011-02-06,699.0,1,699.0
SO43825,18,5350,2011-01-25,2011-02-01,2011-02-06,3578.0,1,3578.0
SO43826,3,9,2011-01-25,2011-02-01,2011-02-06,3375.0,1,3375.0
SO43827,43,14251,2011-01-25,2011-02-01,2011-02-06,699.0,1,699.0
SO43828,20,16606,2011-01-26,2011-02-02,2011-02-07,3578.0,1,3578.0
SO43829,20,16612,2011-01-26,2011-02-02,2011-02-07,3578.0,1,3578.0
SO43830,16,5348,2011-01-26,2011-02-02,2011-02-07,3578.0,1,3578.0
SO43831,4,29,2011-01-26,2011-02-02,2011-02-07,3375.0,1,3375.0
SO43832,20,2585,2011-01-26,2011-02-02,2011-02-07,3578.0,1,3578.0
SO43833,20,10728,2011-01-27,2011-02-03,2011-02-08,3578.0,1,3578.0
SO43834,3,17394,2011-01-27,2011-02-03,2011-02-08,3375.0,1,3375.0
SO43835,3,8803,2011-01-27,2011-02-03,2011-02-08,3375.0,1,3375.0
SO43836,54,15621,2011-01-27,2011-02-03,2011-02-08,699.0,1,699.0
SO43837,5,10,2011-01-27,2011-02-03,2011-02-08,3375.0,1,3375.0
SO43838,18,16642,2011-01-28,2011-02-04,2011-02-09,3578.0,1,3578.0
SO43839,16,16674,2011-01-28,2011-02-04,2011-02-09,3578.0,1,3578.0
SO43840,49,6958,2011-01-28,2011-02-04,2011-02-09,699.0,1,699.0
SO43841,19,2407,2011-01-28,2011-02-04,2011-02-09,3578.0,1,3578.0
SO43842,17,5631,2011-01-28,2011-02-04,2011-02-09,3578.0,1,3578.0
SO43918,18,11042,2011-01-29,2011-02-05,2011-02-10,3578.0,1,3578.0
SO43919,19,1125,2011-01-29,2011-02-05,2011-02-10,3578.0,1,3578.0
SO43920,18,17067,2011-01-29,2011-02-05,2011-02-10,3578.0,1,3578.0
SO43921,18,5744,2011-01-29,2011-02-05,2011-02-10,3578.0,1,3578.0
SO43922,20,2547,2011-01-29,2011-02-05,2011-02-10,3578.0,1,3578.0
SO43923,17,17019,2011-01-30,2011-02-06,2011-02-11,3578.0,1,3578.0
SO43924,20,1133,2011-01-30,2011-02-06,2011-02-11,3578.0,1,3578.0
SO43925,19,5662,2011-01-30,2011-02-06,2011-02-11,3578.0,1,3578.0
SO43926,6,56,2011-01-31,2011-02-07,2011-02-12,3375.0,1,3375.0
SO43927,19,5663,2011-01-31,2011-02-07,2011-02-12,3578.0,1,3578.0
SO43928,18,5741,2011-01-31,2011-02-07,2011-02-12,3578.0,1,3578.0
SO43929,53,14271,2011-01-31,2011-02-07,2011-02-12,699.0,1,699.0
SO43930,17,17039,2011-02-01,2011-02-08,2011-02-13,3578.0,1,3578.0
SO43931,18,2549,2011-02-01,2011-02-08,2011-02-13,3578.0,1,3578.0
SO43932,19,5742,2011-02-01,2011-02-08,2011-02-13,3578.0,1,3578.0
SO43933,10,32,2011-02-01,2011-02-08,2011-02-13,3400.0,1,3400.0
SO43934,9,35,2011-02-01,2011-02-08,2011-02-13,3400.0,1,3400.0
SO43935,47,9049,2011-02-02,2011-02-09,2011-02-14,699.0,1,699.0
SO43936,16,17066,2011-02-02,2011-02-09,2011-02-14,3578.0,1,3578.0
SO43937,17,6048,2011-02-02,2011-02-09,2011-02-14,3578.0,1,3578.0
SO43938,20,5687,2011-02-02,2011-02-09,2011-02-14,3578.0,1,3578.0
SO43939,17,5660,2011-02-02,2011-02-09,2011-02-14,3578.0,1,3578.0
SO43940,48,14295,2011-02-02,2011-02-09,2011-02-14,699.0,1,699.0
SO43941,19,2601,2011-02-03,2011-02-10,2011-02-15,3578.0,1,3578.0
SO43942,20,6052,2011-02-03,2011-02-10,2011-02-15,3578.0,1,3578.0
SO43943,43,3566,2011-02-03,2011-02-10,2011-02-15,699.0,1,699.0
SO43944,7,55,2011-02-03,2011-02-10,2011-02-15,3400.0,1,3400.0
SO43945,20,5676,2011-02-03,2011-02-10,2011-02-15,3578.0,1,3578.0
SO43946,18,5688,2011-02-03,2011-02-10,2011-02-15,3578.0,1,3578.0
SO43947,20,5713,2011-02-03,2011-02-10,2011-02-15,3578.0,1,3578.0
SO43948,8,48,2011-02-03,2011-02-10,2011-02-15,3400.0,1,3400.0
SO43949,20,16727,2011-02-04,2011-02-11,2011-02-16,3578.0,1,3578.0
SO43950,16,17015,2011-02-04,2011-02-11,2011-02-16,3578.0,1,3578.0
SO43951,16,5697,2011-02-04,2011-02-11,2011-02-16,3578.0,1,3578.0
SO43952,17,5640,2011-02-04,2011-02-11,2011-02-16,3578.0,1,3578.0
SO43953,45,9050,2011-02-05,2011-02-12,2011-02-17,699.0,1,699.0
SO43954,16,2603,2011-02-05,2011-02-12,2011-02-17,3578.0,1,3578.0
SO43955,19,2662,2011-02-05,2011-02-12,2011-02-17,3578.0,1,3578.0
SO43956,7,31,2011-02-05,2011-02-12,2011-02-17,3400.0,1,3400.0
SO43957,18,17069,2011-02-06,2011-02-13,2011-02-18,3578.0,1,3578.0
SO43958,17,5659,2011-02-06,2011-02-13,2011-02-18,3578.0,1,3578.0
SO43959,3,36,2011-02-06,2011-02-13,2011-02-18,3375.0,1,3375.0
SO43960,4,47,2011-02-06,2011-02-13,2011-02-18,3375.0,1,3375.0
SO43961,16,17032,2011-02-07,2011-02-14,2011-02-19,3578.0,1,3578.0
SO43962,17,17077,2011-02-07,2011-02-14,2011-02-19,3578.0,1,3578.0
SO43963,19,5686,2011-02-07,2011-02-14,2011-02-19,3578.0,1,3578.0
SO43964,17,5746,2011-02-07,2011-02-14,2011-02-19,3578.0,1,3578.0
SO43965,6,39,2011-02-07,2011-02-14,2011-02-19,3375.0,1,3375.0
SO43966,10,40,2011-02-07,2011-02-14,2011-02-19,3400.0,1,3400.0
SO43967,18,17041,2011-02-08,2011-02-15,2011-02-20,3578.0,1,3578.0
SO43968,18,17068,2011-02-08,2011-02-15,2011-02-20,3578.0,1,3578.0
SO43969,20,17072,2011-02-08,2011-02-15,2011-02-20,3578.0,1,3578.0
SO43970,16,5685,2011-02-08,2011-02-15,2011-02-20,3578.0,1,3578.0
SO43971,19,5658,2011-02-08,2011-02-15,2011-02-20,3578.0,1,3578.0
SO43972,19,10940,2011-02-09,2011-02-16,2011-02-21,3578.0,1,3578.0
SO43973,17,17040,2011-02-09,2011-02-16,2011-02-21,3578.0,1,3578.0
SO43974,17,2688,2011-02-09,2011-02-16,2011-02-21,3578.0,1,3578.0
SO43975,17,2541,2011-02-09,2011-02-16,2011-02-21,3578.0,1,3578.0
SO43976,20,17064,2011-02-09,2011-02-16,2011-02-21,3578.0,1,3578.0
SO43977,17,5704,2011-02-09,2011-02-16,2011-02-21,3578.0,1,3578.0
SO43978,20,17031,2011-02-10,2011-02-17,2011-02-22,3578.0,1,3578.0
SO43979,53,3577,2011-02-10,2011-02-17,2011-02-22,699.0,1,699.0
SO43980,6,49,2011-02-10,2011-02-17,2011-02-22,3375.0,1,3375.0
SO43981,19,5665,2011-02-10,2011-02-17,2011-02-22,3578.0,1,3578.0
SO43982,45,14272,2011-02-10,2011-02-17,2011-02-22,699.0,1,699.0
SO43983,19,17018,2011-02-11,2011-02-18,2011-02-23,3578.0,1,3578.0
SO43984,16,2546,2011-02-11,2011-02-18,2011-02-23,3578.0,1,3578.0
SO43985,18,2516,2011-02-11,2011-02-18,2011-02-23,3578.0,1,3578.0
SO43986,20,17071,2011-02-11,2011-02-18,2011-02-23,3578.0,1,3578.0
SO43987,20,17043,2011-02-12,2011-02-19,2011-02-24,3578.0,1,3578.0
SO43988,7,245,2011-02-12,2011-02-19,2011-02-24,3400.0,1,3400.0
SO43989,17,17084,2011-02-12,2011-02-19,2011-02-24,3578.0,1,3578.0
SO43990,7,14873,2011-02-12,2011-02-19,2011-02-24,3400.0,1,3400.0
SO43991,20,5661,2011-02-12,2011-02-19,2011-02-24,3578.0,1,3578.0
SO43992,16,5639,2011-02-12,2011-02-19,2011-02-24,3578.0,1,3578.0
SO43993,19,5930,2011-02-14,2011-02-21,2011-02-26,3578.0,1,3578.0
SO43994,19,16682,2011-02-15,2011-02-22,2011-02-27,3578.0,1,3578.0
SO43995,17,10814,2011-02-15,2011-02-22,2011-02-27,3578.0,1,3578.0
SO43996,20,16921,2011-02-15,2011-02-22,2011-02-27,3578.0,1,3578.0
SO43997,20,17023,2011-02-15,2011-02-22,2011-02-27,3578.0,1,3578.0
SO43998,3,34,2011-02-15,2011-02-22,2011-02-27,3375.0,1,3375.0
SO43999,16,17048,2011-02-15,2011-02-22,2011-02-27,3578.0,1,3578.0
SO44000,16,16919,2011-02-16,2011-02-23,2011-02-28,3578.0,1,3578.0
SO44001,18,17045,2011-02-16,2011-02-23,2011-02-28,3578.0,1,3578.0
SO44002,48,3573,2011-02-16,2011-02-23,2011-02-28,699.0,1,699.0
SO44003,45,8326,2011-02-16,2011-02-23,2011-02-28,699.0,1,699.0
SO44004,20,17062,2011-02-16,2011-02-23,2011-02-28,3578.0,1,3578.0
SO44005,47,15630,2011-02-16,2011-02-23,2011-02-28,699.0,1,699.0
SO44006,20,5745,2011-02-16,2011-02-23,2011-02-28,3578.0,1,3578.0
SO44007,52,14556,2011-02-16,2011-02-23,2011-02-28,699.0,1,699.0
SO44008,17,16679,2011-02-17,2011-02-24,2011-03-01,3578.0,1,3578.0
SO44009,19,16760,2011-02-17,2011-02-24,2011-03-01,3578.0,1,3578.0
SO44010,20,2681,2011-02-17,2011-02-24,2011-03-01,3578.0,1,3578.0
SO44011,20,2515,2011-02-17,2011-02-24,2011-03-01,3578.0,1,3578.0
SO44012,4,53,2011-02-17,2011-02-24,2011-03-01,3375.0,1,3375.0
SO44013,17,5929,2011-02-17,2011-02-24,2011-03-01,3578.0,1,3578.0
SO44014,18,16918,2011-02-18,2011-02-25,2011-03-02,3578.0,1,3578.0
SO44015,16,2694,2011-02-18,2011-02-25,2011-03-02,3578.0,1,3578.0
SO44016,5,248,2011-02-18,2011-02-25,2011-03-02,3375.0,1,3375.0
SO44017,20,17079,2011-02-18,2011-02-25,2011-03-02,3578.0,1,3578.0
SO44018,5,14877,2011-02-18,2011-02-25,2011-03-02,3375.0,1,3375.0
SO44019,20,5702,2011-02-18,2011-02-25,2011-03-02,3578.0,1,3578.0
SO44020,16,5932,2011-02-18,2011-02-25,2011-03-02,3578.0,1,3578.0
SO44021,3,33,2011-02-18,2011-02-25,2011-03-02,3375.0,1,3375.0
SO44022,18,11009,2011-02-19,2011-02-26,2011-03-03,3578.0,1,3578.0
SO44023,4,8831,2011-02-19,2011-02-26,2011-03-03,3375.0,1,3375.0
SO44024,19,5664,2011-02-19,2011-02-26,2011-03-03,3578.0,1,3578.0
SO44025,19,5709,2011-02-19,2011-02-26,2011-03-03,3578.0,1,3578.0
SO44026,20,6046,2011-02-19,2011-02-26,2011-03-03,3578.0,1,3578.0
SO44027,20,10922,2011-02-20,2011-02-27,2011-03-04,3578.0,1,3578.0
SO44028,17,6049,2011-02-20,2011-02-27,2011-03-04,3578.0,1,3578.0
SO44029,5,51,2011-02-20,2011-02-27,2011-03-04,3375.0,1,3375.0
SO44030,16,1132,2011-02-21,2011-02-28,2011-03-05,3578.0,1,3578.0
SO44031,18,2690,2011-02-21,2011-02-28,2011-03-05,3578.0,1,3578.0
SO44032,7,244,2011-02-21,2011-02-28,2011-03-05,3400.0,1,3400.0
SO44033,19,5694,2011-02-21,2011-02-28,2011-03-05,3578.0,1,3578.0
SO44034,18,5703,2011-02-21,2011-02-28,2011-03-05,3578.0,1,3578.0
SO44035,17,5708,2011-02-21,2011-02-28,2011-03-05,3578.0,1,3578.0
SO44036,20,6047,2011-02-21,2011-02-28,2011-03-05,3578.0,1,3578.0
SO44037,50,14273,2011-02-21,2011-02-28,2011-03-05,699.0,1,699.0
SO44038,7,14869,2011-02-21,2011-02-28,2011-03-05,3400.0,1,3400.0
SO44039,45,6972,2011-02-22,2011-03-01,2011-03-06,699.0,1,699.0
SO44040,6,58,2011-02-22,2011-03-01,2011-03-06,3375.0,1,3375.0
SO44041,18,5743,2011-02-22,2011-03-01,2011-03-06,3578.0,1,3578.0
SO44042,18,2679,2011-02-23,2011-03-02,2011-03-07,3578.0,1,3578.0
SO44043,16,2680,2011-02-23,2011-03-02,2011-03-07,3578.0,1,3578.0
SO44044,19,2691,2011-02-23,2011-03-02,2011-03-07,3578.0,1,3578.0
SO44045,7,17395,2011-02-23,2011-03-02,2011-03-07,3400.0,1,3400.0
SO44046,18,17065,2011-02-23,2011-03-02,2011-03-07,3578.0,1,3578.0
SO44047,7,14879,2011-02-23,2011-03-02,2011-03-07,3400.0,1,3400.0
SO44048,19,5714,2011-02-23,2011-03-02,2011-03-07,3578.0,1,3578.0
SO44049,19,2539,2011-02-24,2011-03-03,2011-03-08,3578.0,1,3578.0
SO44050,20,6051,2011-02-24,2011-03-03,2011-03-08,3578.0,1,3578.0
SO44051,20,2692,2011-02-25,2011-03-04,2011-03-09,3578.0,1,3578.0
SO44052,19,5638,2011-02-25,2011-03-04,2011-03-09,3578.0,1,3578.0
SO44053,43,8330,2011-02-26,2011-03-05,2011-03-10,699.0,1,699.0
SO44054,19,2543,2011-02-26,2011-03-05,2011-03-10,3578.0,1,3578.0
SO44055,20,2544,2011-02-26,2011-03-05,2011-03-10,3578.0,1,3578.0
SO44056,19,2560,2011-02-26,2011-03-05,2011-03-10,3578.0,1,3578.0
SO44057,43,3578,2011-02-26,2011-03-05,2011-03-10,699.0,1,699.0
SO44058,5,57,2011-02-26,2011-03-05,2011-03-10,3375.0,1,3375.0
SO44059,18,5689,2011-02-26,2011-03-05,2011-03-10,3578.0,1,3578.0
SO44060,45,14274,2011-02-26,2011-03-05,2011-03-10,699.0,1,699.0
SO44061,20,16920,2011-02-27,2011-03-06,2011-03-11,3578.0,1,3578.0
SO44062,20,17042,2011-02-27,2011-03-06,2011-03-11,3578.0,1,3578.0
SO44063,7,241,2011-02-27,2011-03-06,2011-03-11,3400.0,1,3400.0
SO44064,20,11051,2011-02-27,2011-03-06,2011-03-11,3578.0,1,3578.0
SO44065,20,17063,2011-02-27,2011-03-06,2011-03-11,3578.0,1,3578.0
SO44066,7,14868,2011-02-27,2011-03-06,2011-03-11,3400.0,1,3400.0
SO44067,20,6050,2011-02-27,2011-03-06,2011-03-11,3578.0,1,3578.0
SO44068,18,2542,2011-02-28,2011-03-07,2011-03-12,3578.0,1,3578.0
SO44069,4,17396,2011-02-28,2011-03-07,2011-03-12,3375.0,1,3375.0
SO44070,4,8830,2011-02-28,2011-03-07,2011-03-12,3375.0,1,3375.0
SO44071,18,5692,2011-02-28,2011-03-07,2011-03-12,3578.0,1,3578.0
SO44072,16,5657,2011-02-28,2011-03-07,2011-03-12,3578.0,1,3578.0
SO44073,6,45,2011-02-28,2011-03-07,2011-03-12,3375.0,1,3375.0
SO44134,20,2822,2011-03-01,2011-03-08,2011-03-13,3578.0,1,3578.0
SO44135,20,17157,2011-03-01,2011-03-08,2011-03-13,3578.0,1,3578.0
SO44136,16,11115,2011-03-01,2011-03-08,2011-03-13,3578.0,1,3578.0
SO44137,19,6329,2011-03-01,2011-03-08,2011-03-13,3578.0,1,3578.0
SO44138,20,2766,2011-03-02,2011-03-09,2011-03-14,3578.0,1,3578.0
SO44139,16,2793,2011-03-02,2011-03-09,2011-03-14,3578.0,1,3578.0
SO44140,16,1222,2011-03-02,2011-03-09,2011-03-14,3578.0,1,3578.0
SO44141,18,2573,2011-03-02,2011-03-09,2011-03-14,3578.0,1,3578.0
SO44142,18,11059,2011-03-02,2011-03-09,2011-03-14,3578.0,1,3578.0
SO44143,18,17146,2011-03-02,2011-03-09,2011-03-14,3578.0,1,3578.0
SO44144,17,6072,2011-03-02,2011-03-09,2011-03-14,3578.0,1,3578.0
SO44145,20,6310,2011-03-02,2011-03-09,2011-03-14,3578.0,1,3578.0
SO44146,18,6311,2011-03-02,2011-03-09,2011-03-14,3578.0,1,3578.0
SO44147,20,6321,2011-03-02,2011-03-09,2011-03-14,3578.0,1,3578.0
SO44148,20,17173,2011-03-03,2011-03-10,2011-03-15,3578.0,1,3578.0
SO44149,17,6243,2011-03-03,2011-03-10,2011-03-15,3578.0,1,3578.0
SO44150,17,6316,2011-03-03,2011-03-10,2011-03-15,3578.0,1,3578.0
SO44151,50,14559,2011-03-03,2011-03-10,2011-03-15,699.0,1,699.0
SO44152,9,335,2011-03-04,2011-03-11,2011-03-16,3400.0,1,3400.0
SO44153,17,17169,2011-03-04,2011-03-11,2011-03-16,3578.0,1,3578.0
SO44154,16,17182,2011-03-04,2011-03-11,2011-03-16,3578.0,1,3578.0
SO44155,18,17132,2011-03-04,2011-03-11,2011-03-16,3578.0,1,3578.0
SO44156,9,14888,2011-03-04,2011-03-11,2011-03-16,3400.0,1,3400.0
SO44157,19,6056,2011-03-04,2011-03-11,2011-03-16,3578.0,1,3578.0
